model,alignments_identified_and_correct,alignments_predicted_correct,misalignments_identified_and_correct,misalignments_predicted_correct,alignments,misalignments,precision_alignment,precision_misalignment,overall_precision,recall_alignment,recall_misalignment,overall_recall
G12-1.domain_model,10,10,1,4,16,2,1.0,0.25,0.785714286,0.625,0.5,0.611111111
G12-2.domain_model,9,10,1,2,11,3,0.9,0.5,0.833333333,0.818181818,0.333333333,0.714285714
G12-3.domain_model,5,7,0,0,10,4,0.7142857142857143,1.0,0.7142857142857143,0.5,0.0,0.3571428571428571
G12-4.domain_model,5,5,1,2,6,1,1.0,0.5,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428571
G12-5.domain_model,6,6,0,0,6,0,1.0,1.0,1.0,1.0,1.0,1.0
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909092,1.0,0.9090909090909092,0.9090909090909092,0.0,0.8333333333333334
G12-6.domain_model,10,11,0,0,11,1,0.9090909090909091,1.0,0.9090909090909091,0.9090909090909091,0.0,0.8333333333333334
