concept,qualifier,context,type
progress,postal,employee,string
anniversary,postal,organization,date
number,social,location,integer
class,user,school,string
termination,anniversary,organization,date
grade,address,shape,string
height,customer,bank,float
height,termination,government,float
day,postal,store,
day,employment,bank,
city,social,store,string
level,passport,government,enumeration
email,postal,organization,string
day,geographical,university,
gender,termination,employee,string
email,passport,organization,string
class,anniversary,employee,string
employment,geographical,customer,boolean
weight,,organization,float
level,employment,user,string
month,geographical,user,
time,passport,employee,string
status,geographical,customer,string
marriage,postal,employee,date
anniversary,anniversary,shape,date
city,termination,user,string
area,passport,bank,string
class,geographical,product,string
country,ID,employee,string
joining,social,store,date
phone,social,employee,string
month,work,product,
zip,,school,integer
country,ID,location,enumeration
year,anniversary,location,
email,,government,string
date,customer,store,date
status,work,customer,string
area,passport,user,string
number,marriage,user,integer
zip,passport,location,integer
exit,address,employee,
phone,employment,product,string
email,passport,employee,string
passport,employee,user,string
phone,passport,customer,string
progress,termination,store,string
joining,manager,product,date
year,employment,university,
salary,product,shape,float
zip,ID,school,integer
employee_number,postal,user,integer
anniversary,termination,government,date
number,order,university,integer
zip,product,user,integer
grade,social,school,string
class,customer,location,enumeration
marriage,social,user,date
joining,work,university,date
day,address,shape,
year,passport,employee,
month,postal,organization,
progress,employee,location,enumeration
anniversary,termination,store,date
name,marriage,university,string
month,order,product,
area,ID,government,string
country,passport,government,enumeration
day,order,bank,
name,ID,organization,string
number,product,user,integer
day,marriage,bank,
height,social,government,float
exit,address,store,
number,work,user,integer
employment,geographical,bank,boolean
birth,address,store,
status,order,user,string
area,product,shape,string
country,termination,organization,string
number,marriage,location,integer
weight,work,location,float
employment,order,location,boolean
grade,manager,government,enumeration
day,geographical,shape,
level,ID,school,string
time,product,organization,string
name,social,university,string
zip,address,customer,integer
city,address,school,string
name,marriage,university,string
birth,employee,location,
year,passport,university,
zip,postal,user,integer
time,manager,user,string
country,customer,university,string
anniversary,address,employee,date
anniversary,order,bank,date
year,termination,customer,
ID,social,product,integer
manager_status,user,government,boolean
manager_status,geographical,store,boolean
phone,address,university,string
gender,geographical,organization,string
grade,social,employee,string
anniversary,product,shape,date
progress,address,employee,string
ID,employee,customer,integer
manager_status,,product,boolean
area,employment,organization,string
level,marriage,employee,string
status,manager,government,enumeration
email,manager,bank,string
passport,manager,organization,string
status,address,product,string
status,manager,user,string
date,anniversary,government,date
gender,user,store,string
height,work,location,float
status,work,store,string
month,ID,shape,
employment,product,customer,boolean
name,customer,customer,string
time,geographical,university,string
ID,ID,customer,integer
city,termination,customer,string
passport,employment,bank,string
number,work,shape,integer
time,user,product,string
country,customer,bank,string
employment,termination,user,boolean
day,ID,organization,
anniversary,passport,employee,date
manager_status,customer,shape,boolean
manager_status,social,employee,boolean
day,employment,location,
weight,order,product,float
email,address,bank,string
city,manager,government,string
exit,postal,employee,
email,termination,government,string
email,manager,university,string
status,social,store,string
grade,ID,store,string
manager_status,,product,boolean
employment,employment,shape,boolean
name,manager,store,string
termination,postal,university,date
email,user,store,string
year,postal,organization,
manager_status,manager,university,boolean
passport,product,store,string
manager_status,,government,boolean
phone,order,customer,string
height,geographical,store,float
exit,social,bank,
day,,university,
birth,passport,store,
passport,manager,organization,string
level,social,shape,string
height,termination,school,float
marriage,passport,organization,date
employment,social,bank,boolean
country,employee,employee,string
passport,geographical,user,string
marriage,customer,shape,date
progress,employee,government,enumeration
city,postal,user,string
date,social,organization,date
termination,termination,organization,date
year,work,organization,
city,social,user,string
termination,passport,store,date
date,termination,product,date
manager_status,ID,university,boolean
area,employee,product,string
employment,order,bank,boolean
joining,customer,shape,date
name,address,bank,string
height,geographical,shape,float
status,social,shape,string
month,employee,employee,
grade,social,product,string
employee_number,anniversary,organization,integer
gender,employee,school,string
area,marriage,location,string
marriage,anniversary,bank,date
year,termination,employee,
email,address,product,string
name,marriage,organization,string
weight,,customer,float
birth,marriage,customer,
manager_status,user,store,boolean
country,anniversary,university,string
termination,customer,user,date
marriage,,customer,date
city,order,government,string
date,employee,organization,date
day,social,location,
employment,passport,school,boolean
day,postal,organization,
height,,product,float
number,marriage,customer,integer
date,manager,location,date
month,marriage,school,
month,anniversary,university,
progress,passport,university,string
joining,employee,employee,date
joining,address,school,date
email,,school,string
marriage,employment,government,date
employment,manager,school,boolean
phone,termination,customer,string
employment,customer,government,boolean
zip,manager,product,integer
class,address,school,string
date,customer,bank,date
number,passport,employee,integer
area,anniversary,employee,string
city,anniversary,store,string
exit,product,bank,
employment,passport,government,boolean
weight,user,university,float
level,ID,bank,string
level,postal,organization,string
gender,product,user,string
number,order,location,integer
time,order,university,string
time,,university,string
class,manager,shape,string
gender,product,university,string
employment,customer,store,boolean
status,manager,employee,string
