concept,qualifier,context,type
date,conference,conference,date
date,manufacture,vehicle,date
date,closure,closure,date
date,analysis,analysis,date
date,invoice,invoice,date
date,workshop,workshop,date
date,check,check,date
date,expiration,warranty,date
date,meeting,meeting,date
date,donation,donation,date
date,allocation,allocation,date
date,ranking,ranking,date
date,harvest,harvest,date
date,notification,notification,date
date,evaluation,evaluation,date
date,shipment,shipment,date
date,realization,realization,date
date,end,subscription,date
date,listing,housing,date
date,exam,examination,date
date,reservation,reservation,date
date,conference,astronomy conferences,date
date,tagging,marine mammal research,date
date,promotion,promotion,date
date,recruitment,recruitment,date
since,customer,customer,date
date,completion,completion,date
date,inspection,inspection,date
date,launch,campaign,date
date,maintenance,maintenance,date
date,reassessment,reassessment,date
date,recertification,certification,date
date,installation,renewable energy projects,date
date,renewal,renewal,date
date,diagnosis,diagnosis,date
date,affiliation,affiliation,date
date,inauguration,inauguration,date
date,join,membership,date
date,appointment,appointment,date
date,solicitation,solicitation,date
date,expiry,certification,date
date,repair,repair,date
date,release,release,date
date,opening,opening,date
date,verification,verification,date
date,order,order,date
date,billing,billing,date
date,booking,booking,date
date,creation,document,date
date,due,task,date
date,return,return,date
date,audit,audit,date
date,publication,publication,date
date,expiration,expiration,date
date,installation,installation,date
date,release,product,date
date,activation,activation,date
date,funding,fund,date
date,manufacture,product,date
date,surgery,surgery,date
date,commencement,commencement,date
date,exhibition,exhibit,date
date,defense,thesis defenses,date
date,issuance,policy,date
date,disbursement,loan,date
date,survey,survey,date
date,purchase,vehicle,date
date,completion,task,date
date,issue,license,date
date,settlement,settlement,date
date,dispatch,dispatch,date
date,expiry,product,date
date,expiration,contract,date
date,award,grant,date
date,recognition,recognition,date
date,approval,approval,date
date,acquisition,acquisition,date
date,start,subscription,date
date,competition,robotics contests,date
date,payment,payment,date
date,delivery,delivery,date
date,release,scientific software updates,date
deadline,,project,date
date,interview,anthropology field notes,date
date,claim,reimbursement,date
date,checkup,checkup,date
date,deployment,deployment,date
