model,alignments,alignments_predicted_correct,alignments_identified_and_correct,misalignments,misalignments_predicted_correct,misalignments_identified_and_correct,precision_alignment,precision_misalignment,overall_precision,recall_alignment,recall_misalignment,overall_recall,F1 alignemnt,F1 misalignment,F1
R1,20,12,12,0,0,0,1,,1.00,0.60,,0.60,0.75,,0.75
R2,3,3,3,0,0,0,1,,1.00,1.00,,1.00,1.00,,1.00
R3,7,6,6,0,0,0,1,,1.00,0.86,,0.86,0.92,,0.92
R4,12,8,8,0,2,0,1,0,0.80,0.67,,0.67,0.80,,0.73
R5,3,3,3,0,0,0,1,,1.00,1.00,,1.00,1.00,,1.00
R6,5,4,4,0,0,0,1,,1.00,0.80,,0.80,0.89,,0.89
R7,11,11,11,0,0,0,1,,1.00,1.00,,1.00,1.00,,1.00
R8,6,5,5,0,0,0,1,,1.00,0.83,,0.83,0.91,,0.91
R9,6,5,5,0,0,0,1,,1.00,0.83,,0.83,0.91,,0.91
R10,1,1,1,0,0,0,1,,1.00,1.00,,1.00,1.00,,1.00
R11,2,2,2,0,0,0,1,,1.00,1.00,,1.00,1.00,,1.00
R12,6,4,4,0,0,0,1,,1.00,0.67,,0.67,0.80,,0.80
R13,9,7,7,0,0,0,1,,1.00,0.78,,0.78,0.88,,0.88
R14,7,6,6,0,0,0,1,,1.00,0.86,,0.86,0.92,,0.92
R15,6,3,3,0,0,0,1,,1.00,0.50,,0.50,0.67,,0.67
R16,5,3,3,0,0,0,1,,1.00,0.60,,0.60,0.75,,0.75
R17,10,7,7,0,0,0,1,,1.00,0.70,,0.70,0.82,,0.82
R18,5,5,5,0,0,0,1,,1.00,1.00,,1.00,1.00,,1.00
R19,28,17,17,0,0,0,1,,1.00,0.61,,0.61,0.76,,0.76
R20,1,1,1,0,0,0,1,,1.00,1.00,,1.00,1.00,,1.00
R21,1,0,0,0,0,0,,,,0.00,,0.00,0.00,,0.00
R22,3,1,1,0,0,0,1,,1.00,0.33,,0.33,0.50,,0.50
R23,1,1,1,0,0,0,1,,1.00,1.00,,1.00,1.00,,1.00
R25,2,1,1,0,0,0,1,,1.00,0.50,,0.50,0.67,,0.67
R26,2,2,2,0,0,0,1,,1.00,1.00,,1.00,1.00,,1.00
R27,1,1,1,0,0,0,1,,1.00,1.00,,1.00,1.00,,1.00
R28,6,6,6,0,0,0,1,,1.00,1.00,,1.00,1.00,,1.00
R29,2,2,2,0,0,0,1,,1.00,1.00,,1.00,1.00,,1.00
R30,2,1,1,0,0,0,1,,1.00,0.50,,0.50,0.67,,0.67
Avg.,,,,,,,1,,0.99,0.78,,0.78,0.85,,0.85
Std.,,,,,,,0,,0.04,0.25,,0.25,0.21,,0.21
