model,alignments,alignments_predicted_correct,alignments_identified_and_correct,misalignments,misalignments_predicted_correct,misalignments_identified_and_correct,precision_alignment,precision_misalignment,overall_precision,recall_alignment,recall_misalignment,overall_recall,F1 alignments,F1 misalignments,F1
R1,15,9,9,2,1,1,1.00,1.00,1.00,0.60,0.50,0.59,0.75,0.67,0.74
R2,0,0,0,2,2,2,,1.00,1.00,,1.00,1.00,,1.00,1.00
R3,4,3,3,1,0,0,1.00,,1.00,0.75,0.00,0.60,0.86,,0.75
R4,5,5,5,4,3,3,1.00,1.00,1.00,1.00,0.75,0.89,1.00,0.86,0.94
R6,3,2,2,1,1,1,1.00,1.00,1.00,0.67,1.00,0.75,0.80,1.00,0.86
R7,6,6,6,2,0,0,1.00,,1.00,1.00,0.00,0.75,1.00,,0.86
R8,1,0,0,2,1,1,,1.00,1.00,0.00,0.50,0.33,,0.67,0.50
R9,2,2,2,2,2,2,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
R10,0,0,0,0,0,0,,,,,,,,,
R11,0,0,0,0,0,0,,,,,,,,,
R12,4,2,2,0,0,0,1.00,,1.00,0.50,,0.50,0.67,,0.67
R13,4,4,4,2,1,1,1.00,1.00,1.00,1.00,0.50,0.83,1.00,0.67,0.91
R14,4,3,3,1,1,1,1.00,1.00,1.00,0.75,1.00,0.80,0.86,1.00,0.89
R15,5,2,2,1,1,1,1.00,1.00,1.00,0.40,1.00,0.50,0.57,1.00,0.67
R16,3,2,2,1,1,1,1.00,1.00,1.00,0.67,1.00,0.75,0.80,1.00,0.86
R17,5,4,4,2,2,2,1.00,1.00,1.00,0.80,1.00,0.86,0.89,1.00,0.92
R18,3,3,3,1,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
R19,23,13,13,3,2,2,1.00,1.00,1.00,0.57,0.67,0.58,0.72,0.80,0.73
R20,0,0,0,1,0,0,,,,,0.00,0.00,,,
R21,0,0,0,0,0,0,,,,,,,,,
R22,0,0,0,1,1,1,,1.00,1.00,,1.00,1.00,,1.00,1.00
R23,0,0,0,0,0,0,,,,,,,,,
R25,0,0,0,1,1,1,,1.00,1.00,,1.00,1.00,,1.00,1.00
R26,0,0,0,1,1,1,,1.00,1.00,,1.00,1.00,,1.00,1.00
R27,1,1,1,0,0,0,1.00,,1.00,1.00,,1.00,1.00,,1.00
R28,3,3,3,1,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
R29,2,2,2,0,0,0,1.00,,1.00,1.00,,1.00,1.00,,1.00
R30,1,0,0,0,0,0,,,,0.00,,0.00,,,
Avg.,,,,,,,1.00,1.00,1.00,0.72,0.75,0.74,0.88,0.92,0.88
Std.,,,,,,,0.00,0.00,0.00,0.31,0.36,0.30,0.14,0.13,0.14
