model,domain,alignments,alignments_predicted_correct,alignments_identified_and_correct,overall_precision,overall_recall,F1
R1,Restaurant Management,8,8,8,1,1,1
R2,Employee Management,13,13,13,1,1,1
R3,Library ,13,11,11,1,0.85,0.92
R4,Galaxy Sleuth Game,10,5,5,1,0.5,0.67
R5,Spy-Robot Game,3,3,3,1,1,1
R6,Academic Program ,13,13,13,1,1,1
R7,Supermarket ,4,3,3,1,0.75,0.86
R8,Hotel Reservation ,5,5,5,1,1,1
R9,Be Well App ,5,4,4,1,0.8,0.89
R10,File Manager ,6,6,6,1,1,1
R11,Football Team ,4,4,4,1,1,1
R12,Rented Car Gallery,9,7,7,1,0.78,0.88
R13,Course Enrollment ,6,4,4,1,0.67,0.8
R14,ATM,0,0,0,,,
R15,Video Rental ,5,5,5,1,1,1
R16,Cinema ,3,1,1,1,0.33,0.5
R17,Timbered House ,4,4,4,1,1,1
R18,Musical Store ,5,4,4,1,0.8,0.89
R19,Airport ,4,3,3,1,0.75,0.86
R20,Monitoring Pressure ,2,2,2,1,1,1
R21,Savings Account ,7,6,6,1,0.86,0.92
R22,IPO Application ,13,6,6,1,0.46,0.63
R23,PIN,3,3,3,1,1,1
R24,Communication Prefs,3,1,1,1,0.33,0.5
R25,Apple Pay ,1,1,1,1,1,1
R26,Block Card ,3,2,2,1,0.67,0.8
R27,Biometric Login ,4,3,3,1,0.75,0.86
R28,Donation ,4,4,4,1,1,1
R29,Prepaid Card,4,4,4,1,1,1
R30,Wallet App,3,2,2,1,0.67,0.8
Average,All,,,,1,0.826551724,0.888965517
Std.,All,,,,0,0.207751109,0.146036009
