model,alignments,alignments_predicted_correct,alignments_identified_and_correct,misalignments,misalignments_predicted_correct,misalignments_identified_and_correct,precision_alignment,precision_misalignment,overall_precision,recall_alignment,recall_misalignment,overall_recall,F1 alignment,F1 misalignment,F1
R1,0,0,0,2,2,2,,1.00,1.00,,1.00,1.00,,1.00,1.00
R2,0,0,0,1,1,1,,1.00,1.00,,1.00,1.00,,1.00,1.00
R3,0,0,0,1,1,1,,1.00,1.00,,1.00,1.00,,1.00,1.00
R4,2,0,0,2,1,1,,1.00,1.00,0.00,0.50,0.25,,0.67,0.40
R6,0,0,0,1,1,1,,1.00,1.00,,1.00,1.00,,1.00,1.00
R7,3,2,2,2,0,0,1.00,,1.00,0.67,0.00,0.40,0.80,,0.57
R8,0,0,0,2,1,1,,1.00,1.00,,0.50,0.50,,0.67,0.67
R9,4,1,1,2,0,0,1.00,,1.00,0.25,0.00,0.17,0.40,,0.29
R10,1,1,1,1,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
R11,0,0,0,1,1,1,,1.00,1.00,,1.00,1.00,,1.00,1.00
R12,0,0,0,1,1,1,,1.00,1.00,,1.00,1.00,,1.00,1.00
R13,2,1,1,2,1,1,1.00,1.00,1.00,0.50,0.50,0.50,0.67,0.67,0.67
R14,3,1,1,3,2,2,1.00,1.00,1.00,0.33,0.67,0.50,0.50,0.80,0.67
R15,1,0,0,1,0,0,,,,0.00,0.00,0.00,,,
R16,0,0,0,1,0,0,,,,,0.00,0.00,,,
R17,0,0,0,2,2,2,,1.00,1.00,,1.00,1.00,,1.00,1.00
R18,0,0,0,1,0,0,,,,,0.00,0.00,,,
R19,1,1,1,3,3,3,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
R20,0,0,0,0,0,0,,,,,,,,,
R21,0,0,0,1,0,0,,,,,0.00,0.00,,,
R22,0,0,0,1,0,0,,,,,0.00,0.00,,,
R23,0,0,0,1,0,0,,,,,0.00,0.00,,,
R25,0,0,0,1,1,1,,1.00,1.00,,1.00,1.00,,1.00,1.00
R26,0,0,0,1,1,1,,1.00,1.00,,1.00,1.00,,1.00,1.00
R27,0,0,0,1,1,1,,1.00,1.00,,1.00,1.00,,1.00,1.00
R28,0,0,0,1,0,0,,,,,0.00,0.00,,,
R29,0,0,0,0,0,0,,,,,,,,,
R30,1,0,0,1,1,1,,1.00,1.00,0.00,1.00,0.50,,1.00,0.67
Average,,,,,,,1.00,1.00,1.00,0.42,0.58,0.57,0.73,0.93,0.84
Std.,,,,,,,0.00,0.00,0.00,0.38,0.45,0.43,0.23,0.13,0.23
