model,alignments,alignments_predicted_correct,alignments_identified_and_correct,misalignments,misalignments_predicted_correct,misalignments_identified_and_correct,precision_alignment,precision_misalignment,overall_precision,recall_alignment,recall_misalignment,overall_recall,F1 alignment,F1 misalignment,F1 overall
R1,2,2,2,1,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
R2,7,6,6,1,1,1,1.00,1.00,1.00,0.86,1.00,0.88,0.92,1.00,0.93
R3,1,1,1,1,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
R4,0,0,0,0,0,0,,,,,,,,,
R6,0,0,0,0,0,0,,,,,,,,,
R7,0,0,0,1,0,0,,,,,0.00,0.00,,0.00,0.00
R8,2,2,2,1,0,0,1.00,,1.00,1.00,0.00,0.67,1.00,0.00,0.80
R9,0,0,0,1,1,1,,1.00,1.00,,1.00,1.00,,1.00,1.00
R10,2,2,2,1,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
R11,0,0,0,0,0,0,,,,,,,,,
R12,0,0,0,0,0,0,,,,,,,,,
R13,0,0,0,0,0,0,,,,,,,,,
R14,0,0,0,0,0,0,,,,,,,,,
R15,0,0,0,0,0,0,,,,,,,,,
R16,0,0,0,0,0,0,,,,,,,,,
R17,0,0,0,0,0,0,,,,,,,,,
R18,0,0,0,0,0,0,,,,,,,,,
R19,0,0,0,0,0,0,,,,,,,,,
R20,0,0,0,0,0,0,,,,,,,,,
R21,0,0,0,0,0,0,,,,,,,,,
R22,0,0,0,0,0,0,,,,,,,,,
R23,0,0,0,0,0,0,,,,,,,,,
R25,0,0,0,0,0,0,,,,,,,,,
R26,0,0,0,0,0,0,,,,,,,,,
R27,1,1,1,1,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
R28,0,0,0,1,1,1,,1.00,1.00,,1.00,1.00,,1.00,1.00
R29,0,0,0,1,1,1,,1.00,1.00,,1.00,1.00,,1.00,1.00
R30,0,0,0,0,0,0,,,,,,,,,
Avg.,,,,,,,1.00,1.00,1.00,0.98,0.80,0.85,0.99,0.80,0.87
Std.,,,,,,,0.00,0.00,0.00,0.05,0.40,0.30,0.03,0.40,0.30
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
