model,alignments_identified_and_correct,alignments_predicted_correct,misalignments_identified_and_correct,misalignments_predicted_correct,alignments,misalignments,precision_alignment,precision_misalignment,overall_precision,recall_alignment,recall_misalignment,overall_recall
R10-file-manager,11,11,0,0,11,0,1,1,1,1,1,1
R6-academic-program,16,16,0,0,18,0,1,1,1,0.888888889,1,0.888888889
R2-employee-management-system,23,23,0,0,24,0,1,1,1,0.958333333,1,0.958333333
R3-library,21,21,0,0,28,0,1,1,1,0.75,1,0.75
R13-course-enrollment,12,12,0,0,17,0,1,1,1,0.705882353,1,0.705882353
R8-hotel-reservation,16,16,0,0,17,0,1,1,1,0.941176471,1,0.941176471
R1-restaurant,24,24,0,0,32,0,1,1,1,0.75,1,0.75
R5-computer-game2,11,11,0,0,14,0,1,1,1,0.785714286,1,0.785714286
R14-atm,7,7,0,0,10,0,1,1,1,0.7,1,0.7
R15-video-rental,8,8,0,0,12,0,1,1,1,0.666666667,1,0.666666667
R7-supermarket,18,18,0,0,23,0,1,1,1,0.782608696,1,0.782608696
R16-cinema,4,4,0,0,8,0,1,1,1,0.5,1,0.5
R12-car-gallery-management,11,11,0,0,15,0,1,1,1,0.733333333,1,0.733333333
R17-timbered-house,11,11,0,0,14,0,1,1,1,0.785714286,1,0.785714286
R18-musical-store,10,10,0,0,12,0,1,1,1,0.833333333,1,0.833333333
R19-airport,21,21,0,0,33,0,1,1,1,0.636363636,1,0.636363636
R21-savings-account,12,12,0,0,14,0,1,1,1,0.857142857,1,0.857142857
R22-IPO-application,7,7,0,0,18,0,1,1,1,0.388888889,1,0.388888889
R23-set-pin,7,7,0,0,8,0,1,1,1,0.875,1,0.875
R24-set-communication-preference,2,2,0,0,5,0,1,1,1,0.4,1,0.4
R25-apple-pay,8,8,0,0,10,0,1,1,1,0.8,1,0.8
R26-block-card,12,12,0,0,13,0,1,1,1,0.923076923,1,0.923076923
R27-biometric-login,6,6,0,0,7,0,1,1,1,0.857142857,1,0.857142857
R28-donation,11,11,0,0,11,0,1,1,1,1,1,1
R29-prepaid-card-loading,8,8,0,0,11,0,1,1,1,0.727272727,1,0.727272727
R30-wallet-application,4,4,0,0,8,0,1,1,1,0.5,1,0.5
R31-restaurant,48,48,0,0,58,0,1,1,1,0.827586207,1,0.827586207
R34-truck,33,33,0,0,41,0,1,1,1,0.804878049,1,0.804878049
R9-be-well-app,11,11,0,0,16,0,1,1,1,0.6875,1,0.6875
R20-monitoring-pressure,3,3,0,0,3,0,1,1,1,1,1,1
R4-computer-game1,13,13,0,2,24,0,1,0,0.866666667,0.541666667,1,0.541666667
