directory,attributes,aligned_associations,misaligned_associations,aligned_compositions,misaligned_compositions,enums_count,aligned_inheritance,misaligned_inheritance
R1,8,15,2,0,2,6,2,1
R2,13,0,2,0,1,0,7,1
R3,13,4,1,0,1,6,1,1
R4,10,5,4,2,2,0,0,0
R6,13,3,1,0,1,0,0,0
R7,4,6,2,3,2,5,0,1
R8,5,1,2,0,2,3,2,1
R9,5,2,2,4,2,0,0,1
R10,6,0,0,1,1,0,2,1
R11,4,0,0,0,1,3,0,0
R12,9,4,0,0,1,0,0,0
R13,6,4,2,2,2,0,0,0
R14,0,4,1,2,3,0,0,0
R15,5,5,1,1,1,0,0,0
R16,3,3,1,0,1,0,0,0
R17,4,5,2,0,2,0,0,0
R18,5,3,1,0,1,2,0,0
R19,4,23,3,1,3,0,0,0
R20,2,0,1,0,0,0,0,0
R21,7,0,0,0,1,6,0,0
R22,14,0,1,0,1,2,0,0
R23,4,0,0,0,1,4,0,0
R25,1,0,1,0,1,7,0,0
R26,3,0,1,0,1,8,0,0
R27,5,1,0,0,1,0,1,1
R28,4,3,1,0,1,1,0,1
R29,4,2,0,0,0,4,0,1
R30,3,1,0,1,1,2,0,0
