model,alignments_identified_and_correct,alignments_predicted_correct,misalignments_identified_and_correct,misalignments_predicted_correct,alignments,misalignments,precision_alignment,precision_misalignment,overall_precision,recall_alignment,recall_misalignment,overall_recall,F1 score
R1-restaurant,25,25,4,4,31,5,1,1,1,0.806451613,0.8,0.805555556,0.892307692
R2-employee-management-system,20,20,3,3,20,4,1,1,1,1,0.75,0.958333333,0.978723404
R3-library,17,17,2,2,24,3,1,1,1,0.708333333,0.666666667,0.703703704,0.826086957
R4-computer-game1,10,10,4,4,15,6,1,1,1,0.666666667,0.666666667,0.666666667,0.8
R6-academic-program,14,14,2,2,16,2,1,1,1,0.875,1,0.888888889,0.941176471
R7-supermarket,11,11,0,0,15,5,1,1,1,0.733333333,0,0.55,0.709677419
R8-hotel-reservation,10,10,2,2,11,5,1,1,1,0.909090909,0.4,0.75,0.857142857
R9-be-well-app,6,6,3,3,7,5,1,1,1,0.857142857,0.6,0.75,0.857142857
R10-file-manager,8,8,2,2,8,2,1,1,1,1,1,1,1
R11-football-team,7,7,1,1,7,1,1,1,1,1,1,1,1
R12-car-gallery-management,9,9,1,1,13,1,1,1,1,0.692307692,1,0.714285714,0.833333333
R13-course-enrollment,8,8,2,2,10,4,1,1,1,0.8,0.5,0.714285714,0.833333333
R14-atm,3,3,3,3,4,4,1,1,1,0.75,0.75,0.75,0.857142857
R15-video-rental,7,7,1,1,10,2,1,1,1,0.7,0.5,0.666666667,0.8
R16-cinema,3,3,1,1,6,2,1,1,1,0.5,0.5,0.5,0.666666667
R17-timbered-house,8,8,4,4,9,4,1,1,1,0.888888889,1,0.923076923,0.96
R18-musical-store,8,8,1,1,10,2,1,1,1,0.8,0.5,0.75,0.857142857
R19-airport,16,16,5,5,27,6,1,1,1,0.592592593,0.833333333,0.636363636,0.777777778
R20-monitoring-pressure,2,2,0,0,2,1,1,1,1,1,0,0.666666667,0.8
R21-savings-account,12,12,0,0,13,1,1,1,1,0.923076923,0,0.857142857,0.923076923
R22-IPO-application,6,6,1,1,16,2,1,1,1,0.375,0.5,0.388888889,0.56
R23-set-pin,7,7,0,0,8,1,1,1,1,0.875,0,0.777777778,0.875
R25-apple-pay,7,7,2,2,8,2,1,1,1,0.875,1,0.9,0.947368421
R26-block-card,10,10,2,2,11,2,1,1,1,0.909090909,1,0.923076923,0.96
R27-biometric-login,6,6,2,2,7,2,1,1,1,0.857142857,1,0.888888889,0.941176471
R28-donation,8,8,2,2,8,3,1,1,1,1,0.666666667,0.909090909,0.952380952
R29-prepaid-card-loading,8,8,1,1,10,1,1,1,1,0.8,1,0.818181818,0.9
R30-wallet-application,3,3,1,1,6,1,1,1,1,0.5,1,0.571428571,0.727272727
