model,alignments_identified_and_correct,alignments_predicted_correct,misalignments_identified_and_correct,misalignments_predicted_correct,alignments,misalignments,precision_alignment,precision_misalignment,overall_precision,recall_alignment,recall_misalignment,overall_recall
R1-restaurant,25,25,2,2,31,5,1.0,1.0,1.0,0.8064516129032258,0.4,0.75
R2-employee-management-system,20,20,2,2,20,4,1.0,1.0,1.0,1.0,0.5,0.9166666666666666
R3-library,17,17,1,1,24,3,1.0,1.0,1.0,0.7083333333333334,0.3333333333333333,0.6666666666666666
R4-computer-game1,10,10,3,3,17,6,1.0,1.0,1.0,0.5882352941176471,0.5,0.5652173913043478
R6-academic-program,14,14,1,1,16,2,1.0,1.0,1.0,0.875,0.5,0.8333333333333334
R7-supermarket,13,13,0,0,18,5,1.0,1.0,1.0,0.7222222222222222,0.0,0.5652173913043478
R8-hotel-reservation,10,10,1,1,11,5,1.0,1.0,1.0,0.9090909090909092,0.2,0.6875
R9-be-well-app,7,7,3,3,11,5,1.0,1.0,1.0,0.6363636363636364,0.6,0.625
R10-file-manager,9,9,1,1,9,2,1.0,1.0,1.0,1.0,0.5,0.9090909090909092
R11-football-team,7,7,1,1,7,1,1.0,1.0,1.0,1.0,1.0,1.0
R12-car-gallery-management,9,9,0,0,13,1,1.0,1.0,1.0,0.6923076923076923,0.0,0.6428571428571429
R13-course-enrollment,9,9,1,1,12,4,1.0,1.0,1.0,0.75,0.25,0.625
R14-atm,3,3,2,2,6,4,1.0,1.0,1.0,0.5,0.5,0.5
R15-video-rental,7,7,1,1,11,2,1.0,1.0,1.0,0.6363636363636364,0.5,0.6153846153846154
R16-cinema,3,3,1,1,6,2,1.0,1.0,1.0,0.5,0.5,0.5
R17-timbered-house,8,8,2,2,9,4,1.0,1.0,1.0,0.8888888888888888,0.5,0.7692307692307693
R18-musical-store,8,8,1,1,10,2,1.0,1.0,1.0,0.8,0.5,0.75
R19-airport,17,17,2,2,28,6,1.0,1.0,1.0,0.6071428571428571,0.3333333333333333,0.5588235294117647
R20-monitoring-pressure,2,2,0,0,2,1,1.0,1.0,1.0,1.0,0.0,0.6666666666666666
R21-savings-account,12,12,0,0,13,1,1.0,1.0,1.0,0.9230769230769232,0.0,0.8571428571428571
R22-IPO-application,6,6,1,1,16,2,1.0,1.0,1.0,0.375,0.5,0.3888888888888889
R23-set-pin,7,7,0,0,8,1,1.0,1.0,1.0,0.875,0.0,0.7777777777777778
R25-apple-pay,7,7,1,1,8,2,1.0,1.0,1.0,0.875,0.5,0.8
R26-block-card,10,10,1,1,11,2,1.0,1.0,1.0,0.9090909090909092,0.5,0.8461538461538461
R27-biometric-login,6,6,1,1,7,2,1.0,1.0,1.0,0.8571428571428571,0.5,0.7777777777777778
R28-donation,8,8,2,2,8,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.9090909090909092
R29-prepaid-card-loading,8,8,1,1,10,1,1.0,1.0,1.0,0.8,1.0,0.8181818181818182
R30-wallet-application,3,3,0,0,7,1,1.0,1.0,1.0,0.42857142857142855,0.0,0.375
