model,alignments_identified_and_correct,alignments_predicted_correct,misalignments_identified_and_correct,misalignments_predicted_correct,alignments,misalignments,precision_alignment,precision_misalignment,overall_precision,recall_alignment,recall_misalignment,overall_recall
R1-restaurant,25,25,2,2,31,5,1,1,1,0.806451613,0.4,0.75
R2-employee-management-system,20,20,2,2,20,4,1,1,1,1,0.5,0.916666667
R3-library,17,17,1,1,24,3,1,1,1,0.708333333,0.333333333,0.666666667
R4-computer-game1,10,10,3,3,17,6,1,1,1,0.588235294,0.5,0.565217391
R6-academic-program,14,14,1,1,16,2,1,1,1,0.875,0.5,0.833333333
R7-supermarket,13,13,0,0,18,5,1,1,1,0.722222222,0,0.565217391
R8-hotel-reservation,10,10,2,2,11,5,1,1,1,0.909090909,0.4,0.75
R9-be-well-app,7,7,3,3,11,5,1,1,1,0.636363636,0.6,0.625
R10-file-manager,9,9,1,1,9,2,1,1,1,1,0.5,0.909090909
R11-football-team,7,7,1,1,7,1,1,1,1,1,1,1
R12-car-gallery-management,9,9,0,0,13,1,1,1,1,0.692307692,0,0.642857143
R13-course-enrollment,9,9,1,1,12,4,1,1,1,0.75,0.25,0.625
R14-atm,3,3,2,2,6,4,1,1,1,0.5,0.5,0.5
R15-video-rental,7,7,1,1,11,2,1,1,1,0.636363636,0.5,0.615384615
R16-cinema,3,3,1,1,6,2,1,1,1,0.5,0.5,0.5
R17-timbered-house,8,8,2,2,9,4,1,1,1,0.888888889,0.5,0.769230769
R18-musical-store,8,8,1,1,10,2,1,1,1,0.8,0.5,0.75
R19-airport,17,17,2,2,28,6,1,1,1,0.607142857,0.333333333,0.558823529
R20-monitoring-pressure,2,2,1,1,2,1,1,1,1,1,1,1
R21-savings-account,12,12,0,0,13,1,1,1,1,0.923076923,0,0.857142857
R22-IPO-application,6,6,1,1,16,2,1,1,1,0.375,0.5,0.388888889
R23-set-pin,7,7,0,0,8,1,1,1,1,0.875,0,0.777777778
R25-apple-pay,7,7,1,1,8,2,1,1,1,0.875,0.5,0.8
R26-block-card,10,10,1,1,11,2,1,1,1,0.909090909,0.5,0.846153846
R27-biometric-login,6,6,1,1,7,2,1,1,1,0.857142857,0.5,0.777777778
R28-donation,8,8,2,2,8,3,1,1,1,1,0.666666667,0.909090909
R29-prepaid-card-loading,8,8,1,1,10,1,1,1,1,0.8,1,0.818181818
R30-wallet-application,3,3,0,0,7,1,1,1,1,0.428571429,0,0.375
