model,alignments_identified_and_correct,alignments_predicted_correct,misalignments_identified_and_correct,misalignments_predicted_correct,alignments,misalignments,precision_alignment,precision_misalignment,overall_precision,recall_alignment,recall_misalignment,overall_recall
R1-restaurant,29,29,2,2,37,5,1.0,1.0,1.0,0.7837837837837838,0.4,0.7380952380952381
R2-employee-management-system,20,20,2,2,20,4,1.0,1.0,1.0,1.0,0.5,0.9166666666666666
R3-library,17,17,1,1,24,3,1.0,1.0,1.0,0.7083333333333334,0.3333333333333333,0.6666666666666666
R4-computer-game1,11,11,3,11,25,6,1.0,0.2727272727272727,0.6363636363636364,0.44,0.5,0.4516129032258064
R6-academic-program,14,14,1,1,16,2,1.0,1.0,1.0,0.875,0.5,0.8333333333333334
R7-supermarket,13,13,0,0,18,5,1.0,1.0,1.0,0.7222222222222222,0.0,0.5652173913043478
R8-hotel-reservation,10,10,2,2,11,5,1.0,1.0,1.0,0.9090909090909092,0.4,0.75
R9-be-well-app,7,7,3,3,11,5,1.0,1.0,1.0,0.6363636363636364,0.6,0.625
R10-file-manager,9,9,1,1,9,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.8333333333333334
R11-football-team,8,8,2,2,8,2,1.0,1.0,1.0,1.0,1.0,1.0
R12-car-gallery-management,9,9,0,0,14,1,1.0,1.0,1.0,0.6428571428571429,0.0,0.6
R13-course-enrollment,10,10,1,1,13,4,1.0,1.0,1.0,0.7692307692307693,0.25,0.6470588235294118
R14-atm,4,4,2,2,7,4,1.0,1.0,1.0,0.5714285714285714,0.5,0.5454545454545454
R15-video-rental,7,7,1,1,11,2,1.0,1.0,1.0,0.6363636363636364,0.5,0.6153846153846154
R16-cinema,3,3,1,1,6,2,1.0,1.0,1.0,0.5,0.5,0.5
R17-timbered-house,9,9,2,2,10,4,1.0,1.0,1.0,0.9,0.5,0.7857142857142857
R18-musical-store,9,9,1,1,11,2,1.0,1.0,1.0,0.8181818181818182,0.5,0.7692307692307693
R19-airport,17,18,1,1,28,6,0.9444444444444444,1.0,0.9473684210526316,0.6071428571428571,0.1666666666666666,0.5294117647058824
R20-monitoring-pressure,2,2,1,1,2,1,1.0,1.0,1.0,1.0,1.0,1.0
R21-savings-account,12,12,1,1,13,2,1.0,1.0,1.0,0.9230769230769232,0.5,0.8666666666666667
R22-IPO-application,6,6,1,2,17,2,1.0,0.5,0.875,0.3529411764705882,0.5,0.3684210526315789
R23-set-pin,6,6,0,1,8,2,1.0,0.0,0.8571428571428571,0.75,0.0,0.6
R25-apple-pay,7,7,1,1,9,2,1.0,1.0,1.0,0.7777777777777778,0.5,0.7272727272727273
R26-block-card,10,10,1,1,11,2,1.0,1.0,1.0,0.9090909090909092,0.5,0.8461538461538461
R27-biometric-login,5,5,2,3,7,3,1.0,0.6666666666666666,0.875,0.7142857142857143,0.6666666666666666,0.7
R28-donation,9,9,2,2,9,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.9166666666666666
