model,alignments_identified_and_correct,alignments_predicted_correct,misalignments_identified_and_correct,misalignments_predicted_correct,alignments,misalignments,precision_alignment,precision_misalignment,overall_precision,recall_alignment,recall_misalignment,overall_recall
R1-restaurant,0,0,3,3,0,4,1,1,1,1,0.75,0.75
R2-employee-management-system,0,0,2,2,0,5,1,1,1,1,0.4,0.4
R3-library,0,0,3,3,0,3,1,1,1,1,1,1
R5-computer-game2,0,0,1,1,0,3,1,1,1,1,0.333333333,0.333333333
R6-academic-program,0,0,1,1,0,1,1,1,1,1,1,1
R7-supermarket,0,0,3,3,0,6,1,1,1,1,0.5,0.5
R8-hotel-reservation,0,0,3,3,0,5,1,1,1,1,0.6,0.6
R9-be-well-app,0,1,2,2,0,5,0,1,0.666666667,1,0.4,0.4
R10-file-manager,0,0,3,3,0,4,1,1,1,1,0.75,0.75
R11-football-team,,,,,,,,,,,,
R12-car-gallery-management,,,,,,,,,,,,
R13-course-enrollment,0,0,2,2,0,4,1,1,1,1,0.5,0.5
R14-atm,,,,,,,,,,,,
R15-video-rental,0,0,1,1,0,2,1,1,1,1,0.5,0.5
R16-cinema,0,0,1,1,0,1,1,1,1,1,1,1
R17-timbered-house,0,1,2,2,0,3,0,1,0.666666667,1,0.666666667,0.666666667
R18-musical-store,0,1,0,0,0,1,0,1,0,1,0,0
R19-airport,,,,,,,,,,,,
R31-restaurant,0,1,5,5,0,8,0,1,0.833333333,1,0.625,0.625
R34-truck,0,0,4,4,0,4,1,1,1,1,1,1
